,id,retweet_count,favorite_count
460,816829038950027264,5293,0
461,816816676327063552,2282,10840
462,816697700272001025,2459,10629
463,816450570814898180,9083,33171
464,816336735214911488,2189,9344
465,816091915477250048,2409,9687
466,816062466425819140,1174,0
467,816014286006976512,5952,0
468,815990720817401858,1174,5423
469,815966073409433600,9537,24403
470,815745968457060357,4628,0
471,815736392542261248,2539,10684
472,815639385530101762,1844,8929
473,815390420867969024,4257,11220
474,814986499976527872,1448,8293
475,814638523311648768,3036,12245
476,814578408554463233,6528,0
477,814530161257443328,2078,9418
478,814153002265309185,9748,31217
479,813944609378369540,3615,0
480,813910438903693312,2111,10092
481,813812741911748608,15725,39482
482,813800681631023104,1976,9071
483,813217897535406080,8171,20319
484,813202720496779264,2016,9973
485,813187593374461952,4901,21576
486,813172488309972993,2156,10149
487,813157409116065792,2483,8420
488,813142292504645637,2643,9137
489,813130366689148928,496,4850
490,813127251579564032,3513,12902
491,813112105746448384,3097,11235
492,813096984823349248,4054,11440
493,813081950185472002,3110,10732
494,813066809284972545,2179,8639
495,813051746834595840,8215,22772
496,812781120811126785,2139,8226
497,812747805718642688,7796,0
498,812709060537683968,1607,7204
499,812503143955202048,1374,6616
500,812466873996607488,2164,8700
501,812372279581671427,4118,14887
502,811985624773361665,1580,7907
503,811744202451197953,1812,8212
504,811647686436880384,832,6063
505,811627233043480576,3518,13940
506,811386762094317568,7188,22748
507,810984652412424192,1606,5813
508,810896069567610880,2009,9849
509,810657578271330305,2959,11927
510,810284430598270976,12847,38629
511,810254108431155201,3770,15976
512,809920764300447744,4370,16854
513,809808892968534016,5515,0
514,809448704142938112,1654,7537
515,809220051211603969,6316,21693
516,809084759137812480,3939,14383
